Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
l,NS,M,10,0,83.33333333,41.66666667,41.66666667,8.333333333,16.66666667,0,36.36363636,12.5,,
l,NS,M,10,0,33.33333333,33.33333333,33.33333333,16.66666667,0,16.66666667,0,20.83333333,,
l,ELS,M,2,8.333333333,50,66.66666667,NA,NA,NA,NA,NA,37.5,,
l,ELS,M,2,8.333333333,33.33333333,66.66666667,NA,NA,NA,NA,NA,25,,
l,ELS,M,10,33.33333333,50,75,75,33.33333333,41.66666667,0,36.36363636,33.33333333,,
l,ELS,M,10,8.333333333,83.33333333,66.66666667,66.66666667,58.33333333,58.33333333,8.333333333,0,20.83333333,,
l,NS,F,2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,4.166666667,,
l,NS,F,2,0,50,0,NA,NA,NA,NA,NA,4.166666667,,
l,ELS,F,2,0,100,66.66666667,NA,NA,NA,NA,NA,25,,
l,ELS,F,2,0,16.66666667,0,NA,NA,NA,NA,NA,12.5,,
l,NS,F,10,0,66.66666667,0,0,0,0,16.66666667,18.18181818,4.166666667,,
l,NS,F,10,0,16.66666667,0,0,0,0,0,0,4.166666667,,
l,NS,F,10,0,66.66666667,0,0,16.66666667,0,8.333333333,9.090909091,8.333333333,,
l,ELS,F,10,0,66.66666667,50,50,41.66666667,8.333333333,16.66666667,9.090909091,8.333333333,,
l,ELS,F,10,8.333333333,66.66666667,8.333333333,8.333333333,8.333333333,0,0,18.18181818,4.166666667,,
l,NS,M,2,0,50,16.66666667,NA,NA,NA,NA,NA,20.83333333,,
l,NS,M,2,0,100,0,NA,NA,NA,NA,NA,12.5,,
l,ELS,M,2,8.333333333,50,41.66666667,NA,NA,NA,NA,NA,37.5,,
l,ELS,M,2,8.333333333,50,33.33333333,NA,NA,NA,NA,NA,20.83333333,,
l,NS,M,10,8.333333333,66.66666667,25,25,16.66666667,0,0,0,0,,
l,NS,M,10,16.66666667,83.33333333,25,25,25,16.66666667,0,9.090909091,12.5,,
l,ELS,M,10,0,83.33333333,16.66666667,16.66666667,16.66666667,0,0,9.090909091,20.83333333,,
l,ELS,M,10,0,33.33333333,41.66666667,41.66666667,16.66666667,25,0,9.090909091,8.333333333,,
l,NS,M,2,0,66.66666667,83.33333333,NA,NA,NA,NA,NA,66.66666667,,
l,NS,M,2,0,83.33333333,8.333333333,NA,NA,NA,NA,NA,12.5,,
l,ELS,F,2,8.333333333,16.66666667,25,NA,NA,NA,NA,NA,4.166666667,,
l,ELS,F,2,8.333333333,33.33333333,33.33333333,NA,NA,NA,NA,NA,4.166666667,,
l,NS,F,2,16.66666667,83.33333333,16.66666667,NA,NA,NA,NA,NA,#DIV/0!,,
l,NS,F,2,0,16.66666667,0,NA,NA,NA,NA,NA,#DIV/0!,,
l,ELS,M,2,0,33.33333333,66.66666667,NA,NA,NA,NA,NA,41.66666667,,
l,ELS,M,2,33.33333333,83.33333333,83.33333333,NA,NA,NA,NA,NA,41.66666667,,
l,NS,F,10,9.090909091,50,25,25,33.33333333,8.333333333,16.66666667,16.66666667,8.333333333,,
l,NS,F,10,9.090909091,100,58.33333333,58.33333333,16.66666667,25,0,8.333333333,8.333333333,,
l,ELS,M,10,27.27272727,50,0,0,16.66666667,16.66666667,8.333333333,16.66666667,4.166666667,,
l,ELS,M,10,9.090909091,83.33333333,33.33333333,33.33333333,8.333333333,8.333333333,25,0,0,,
l,NS,M,10,0,50,50,50,75,25,25,0,12.5,,
l,NS,M,10,18.18181818,33.33333333,33.33333333,33.33333333,0,25,0,8.333333333,12.5,,
l,ELS,F,10,0,16.66666667,50,50,33.33333333,25,16.66666667,8.333333333,12.5,,
l,ELS,F,10,9.090909091,0,25,25,16.66666667,0,16.66666667,16.66666667,33.33333333,,
l,NS,M,2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,0,,
l,NS,M,2,9.090909091,66.66666667,16.66666667,NA,NA,NA,NA,NA,8.333333333,,
l,NS,M,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,12.5,,
l,NS,M,10,18.18181818,50,58.33333333,58.33333333,58.33333333,33.33333333,16.66666667,25,4.166666667,,
l,NS,M,10,9.090909091,66.66666667,8.333333333,8.333333333,33.33333333,0,16.66666667,0,16.66666667,,
l,NS,M,10,0,66.66666667,25,25,50,33.33333333,16.66666667,8.333333333,12.5,,
l,NS,F,10,0,0,8.333333333,8.333333333,25,8.333333333,8.333333333,16.66666667,16.66666667,,
l,NS,F,10,9.090909091,16.66666667,33.33333333,33.33333333,83.33333333,8.333333333,0,16.66666667,4.166666667,,
l,ELS,F,2,0,33.33333333,33.33333333,NA,NA,NA,NA,NA,8.333333333,,
l,ELS,F,2,0,0,8.333333333,NA,NA,NA,NA,NA,0,,
l,NS,F,2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,8.333333333,,
l,NS,F,2,0,66.66666667,25,NA,NA,NA,NA,NA,0,,
l,ELS,F,10,0,50,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,8.333333333,25,,
l,ELS,F,10,0,66.66666667,33.33333333,33.33333333,8.333333333,8.333333333,16.66666667,0,33.33333333,,
l,NS,M,10,18.18181818,50,8.333333333,8.333333333,0,8.333333333,0,0,0,,
l,NS,M,10,18.18181818,83.33333333,33.33333333,33.33333333,25,0,16.66666667,0,0,,
l,NS,F,10,18.18181818,50,0,0,0,0,0,0,4.166666667,,
l,NS,F,10,0,66.66666667,0,0,8.333333333,0,0,8.333333333,0,,
l,ELS,M,2,8.333333333,66.66666667,58.33333333,NA,NA,NA,NA,NA,41.66666667,,
l,ELS,M,2,0,50,16.66666667,NA,NA,NA,NA,NA,8.333333333,,
l,ELS,F,2,0,100,91.66666667,NA,NA,NA,NA,NA,33.33333333,,
l,ELS,F,2,8.333333333,66.66666667,25,NA,NA,NA,NA,NA,0,,
l,NS,M,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,27.27272727,,
l,NS,M,2,0,66.66666667,8.333333333,NA,NA,NA,NA,NA,0,,
l,NS,F,2,0,83.33333333,75,NA,NA,NA,NA,NA,16.66666667,,
l,NS,F,2,0,66.66666667,16.66666667,NA,NA,NA,NA,NA,50,,
l,ELS,M,10,0,66.66666667,33.33333333,33.33333333,33.33333333,0,0,16.66666667,33.33333333,,
l,ELS,M,10,8.333333333,83.33333333,25,25,83.33333333,66.66666667,0,8.333333333,8.333333333,,
l,ELS,M,10,8.333333333,66.66666667,41.66666667,41.66666667,41.66666667,50,33.33333333,41.66666667,0,,
l,ELS,F,10,0,50,0,0,0,0,0,0,8.333333333,,
l,ELS,F,10,0,33.33333333,8.333333333,8.333333333,0,0,0,0,8.333333333,,
l,NS,M,10,0,83.33333333,0,0,25,16.66666667,0,0,8.333333333,,
l,NS,M,10,0,0,0,0,0,0,0,0,0,,
l,NS,F,10,0,33.33333333,8.333333333,8.333333333,8.333333333,0,8.333333333,0,0,,
l,NS,F,10,8.333333333,33.33333333,16.66666667,16.66666667,8.333333333,0,25,0,0,,
l,ELS,M,2,8.333333333,50,66.66666667,NA,NA,NA,NA,NA,33.33333333,,
l,ELS,M,2,8.333333333,50,50,NA,NA,NA,NA,NA,25,,
l,ELS,F,2,25,50,50,NA,NA,NA,NA,NA,25,,
l,ELS,F,2,0,83.33333333,16.66666667,NA,NA,NA,NA,NA,0,,
l,NS,M,2,8.333333333,50,0,NA,NA,NA,NA,NA,0,,
l,NS,M,2,8.333333333,100,8.333333333,NA,NA,NA,NA,NA,0,,
l,NS,F,2,16.66666667,33.33333333,16.66666667,NA,NA,NA,NA,NA,8.333333333,,
l,NS,F,2,0,16.66666667,0,NA,NA,NA,NA,NA,0,,
l,NS,F,2,0,50,8.333333333,NA,NA,NA,NA,NA,0,,
l,ELS,M,10,0,66.66666667,25,25,50,16.66666667,16.66666667,33.33333333,8.333333333,,
l,ELS,M,10,0,66.66666667,25,25,16.66666667,50,25,25,58.33333333,,
l,ELS,F,10,8.333333333,33.33333333,25,25,16.66666667,8.333333333,0,0,0,,
l,ELS,F,10,0,16.66666667,8.333333333,8.333333333,0,8.333333333,16.66666667,16.66666667,0,,
l,ELS,M,10,8.333333333,83.33333333,58.33333333,58.33333333,25,16.66666667,8.333333333,8.333333333,0,,
l,ELS,M,10,16.66666667,83.33333333,25,25,16.66666667,16.66666667,0,0,0,,
l,NS,M,10,0,16.66666667,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,16.66666667,0,,
l,NS,M,10,0,33.33333333,16.66666667,16.66666667,33.33333333,41.66666667,16.66666667,8.333333333,16.66666667,,
l,NS,M,10,0,0,16.66666667,16.66666667,8.333333333,25,0,0,0,,
l,ELS,M,2,0,83.33333333,0,NA,NA,NA,NA,NA,0,,
l,ELS,M,2,0,16.66666667,8.333333333,NA,NA,NA,NA,NA,33.33333333,,
l,ELS,F,2,8.333333333,66.66666667,41.66666667,NA,NA,NA,NA,NA,33.33333333,,
l,ELS,F,2,0,66.66666667,33.33333333,NA,NA,NA,NA,NA,0,,
l,NS,M,2,8.333333333,83.33333333,50,NA,NA,NA,NA,NA,16.66666667,,
l,NS,M,2,0,66.66666667,66.66666667,NA,NA,NA,NA,NA,33.33333333,,
l,NS,F,2,8.333333333,50,41.66666667,NA,NA,NA,NA,NA,0,,
l,NS,F,2,0,0,16.66666667,NA,NA,NA,NA,NA,0,,
l,NS,M,2,0,66.66666667,0,NA,NA,NA,NA,NA,16.66666667,,
l,NS,M,2,0,50,16.66666667,NA,NA,NA,NA,NA,25,,
l,ELS,F,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,16.66666667,,
l,ELS,F,2,0,66.66666667,0,NA,NA,NA,NA,NA,0,,
l,NS,F,2,0,16.66666667,0,NA,NA,NA,NA,NA,33.33333333,,
l,NS,F,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,0,,
l,ELS,F,10,0,50,50,50,25,16.66666667,16.66666667,25,8.333333333,,
l,ELS,F,10,0,66.66666667,16.66666667,16.66666667,8.333333333,0,0,8.333333333,0,,
,,,,,,,,,,,,,,
h,ELS,Male,2,8.333333333,66.66666667,33.33333333,,,,,,8.333333333,41.66666667,58.33333333
h,ELS,Male,2,0,83.33333333,100,,,,,,41.66666667,25,#DIV/0!
h,NS,Male,2,0,50,41.66666667,,,,,,41.66666667,8.333333333,58.33333333
h,NS,Male,2,0,83.33333333,50,,,,,,66.66666667,16.66666667,#DIV/0!
h,NS,Male,2,0,100,16.66666667,,,,,,25,41.66666667,16.66666667
h,ELS,Male,10,0,100,66.66666667,66.66666667,33.33333333,0,8.333333333,41.66666667,41.66666667,8.333333333,10
h,ELS,Male,10,0,83.33333333,25,33.33333333,41.66666667,50,16.66666667,25,16.66666667,8.333333333,20
l,NS,Female,2,0,33.33333333,0,,,,,,8.333333333,0,0
l,NS,Female,2,8.333333333,16.66666667,0,,,,,,0,0,0
l,ELS,Male,2,0,83.33333333,58.33333333,,,,,,41.66666667,25,8.333333333
l,ELS,Male,2,10,66.66666667,66.66666667,,,,,,50,41.66666667,0
h,NS,Male,10,0,83.33333333,8.333333333,8.333333333,0,0,0,18.18181818,0,0,50
h,NS,Male,10,0,83.33333333,16.66666667,16.66666667,33.33333333,16.66666667,41.66666667,9.090909091,0,0,50
l,ELS,Male,10,0,50,66.66666667,66.66666667,75,50,16.66666667,16.66666667,8.333333333,63.63636364,16.66666667
l,ELS,Male,10,0,83.33333333,50,50,66.66666667,8.333333333,0,0,16.66666667,9.090909091,16.66666667
h,NS,Male,2,8.333333333,33.33333333,0,,,,,,8.333333333,0,8.333333333
h,NS,Male,2,0,83.33333333,58.33333333,,,,,,16.66666667,25,25
h,ELS,Male,2,0,66.66666667,16.66666667,,,,,,8.333333333,33.33333333,8.333333333
h,ELS,Male,2,0,83.33333333,91.66666667,,,,,,41.66666667,25,16.66666667
l,NS,Female,10,0,100,8.333333333,8.333333333,0,16.66666667,16.66666667,8.333333333,8.333333333,0,0
h,ELS,Male,10,0,50,66.66666667,66.66666667,41.66666667,33.33333333,50,41.66666667,33.33333333,33.33333333,25
h,ELS,Male,10,0,83.33333333,25,33.33333333,33.33333333,8.333333333,8.333333333,0,0,16.66666667,8.333333333
l,NS,Female,2,0,33.33333333,25,,,,,,8.333333333,0,16.66666667
l,NS,Female,2,0,66.66666667,0,,,,,,8.333333333,0,0
l,ELS,Female,2,0,100,0,,,,,,8.333333333,0,0
l,ELS,Female,2,0,50,16.66666667,,,,,,25,8.333333333,8.333333333
l,ELS,Female,2,0,50,16.66666667,,,,,,8.333333333,0,0
h,NS,Male,10,0,66.66666667,91.66666667,91.66666667,75,50,25,25,33.33333333,58.33333333,16.66666667
h,NS,Male,10,8.333333333,100,50,50,33.33333333,50,16.66666667,8.333333333,8.333333333,16.66666667,41.66666667
l,ELS,Female,10,0,100,58.33333333,58.33333333,66.66666667,25,25,16.66666667,41.66666667,50,25
l,ELS,Female,10,16.66666667,83.33333333,66.66666667,66.66667,41.66666667,58.33333333,25,8.333333333,16.66666667,41.66666667,16.66666667
h,ELS,Male,2,0,100,91.66666667,,,,,,83.33333333,58.33333333,66.66666667
h,ELS,Male,2,0,100,75,,,,,,33.33333333,25,41.66666667
h,NS,Male,2,8.333333333,66.66666667,41.66666667,,,,,,25,25,0
h,NS,Male,2,8.333333333,83.33333333,25,,,,,,8.333333333,0,9.090909091
l,ELS,Female,2,0,83.33333333,16.66666667,,,,,,8.333333333,8.333333333,18.18181818
l,ELS,Female,2,0,83.33333333,66.66666667,,,,,,8.333333333,8.333333333,18.18181818
l,NS,Male,10,0,66.66666667,8.333333333,8.333333333,66.66666667,16.66666667,8.333333333,0,25,41.66666667,41.66666667
l,NS,Male,10,0,50,0,0,0,0,0,0,8.333333333,0,0
l,NS,Male,10,0,100,33.33333333,33.33333333,58.33333333,25,8.333333333,16.66666667,0,8.333333333,33.33333333
h,ELS,Male,10,33.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,50,16.66666667,41.66666667,16.66666667
h,ELS,Male,10,0,100,100,100,91.66666667,58.33333333,41.66666667,50,58.33333333,66.66666667,33.33333333
h,NS,Female,10,0,66.66666667,25,25,16.66666667,16.66666667,16.66666667,16.66666667,8.333333333,0,0
h,NS,Female,10,0,83.33333333,8.333333333,8.333333333,0,8.333333333,0,0,0,0,0
h,ELS,Male,2,0,100,100,,,,,,91.66666667,75,58.33333333
h,ELS,Male,2,0,83.33333333,33.33333333,,,,,,41.66666667,41.66666667,33.33333333
l,ELS,Female,10,0,66.66666667,25,25,33.33333333,16.66666667,8.333333333,8.333333333,0,16.66666667,8.333333333
l,ELS,Female,10,0,100,33.33333333,33.33333333,0,0,8.333333333,0,0,8.333333333,0
l,NS,Female,10,0,33.33333333,0,0,0,0,0,0,0,33.33333333,0
l,NS,Female,10,0,66.66666667,0,0,0,8.333333333,25,0,0,0,8.333333333
l,ELS,Female,2,0,83.33333333,41.66666667,,,,,,0,16.66666667,16.66666667
l,ELS,Female,2,0,83.33333333,41.66666667,,,,,,8.333333333,0,0
h,NS,Male,2,0,100,83.33333333,,,,,,41.66666667,8.333333333,50
h,NS,Male,2,0,50,25,,,,,,33.33333333,25,0
