"Litter","animal_no","Cage.no","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall"
"a",1,"1","NS","M",10,0,83.33333333,41.66666667,41.66666667,8.333333333,16.66666667,0,36.36363636,"12.5"
"a",2,"","NS","M",10,0,33.33333333,33.33333333,33.33333333,16.66666667,0,16.66666667,0,"20.83333333"
"a",3,"2","ELS","M",2,8.333333333,50,66.66666667,NA,NA,NA,NA,NA,"37.5"
"a",4,"","ELS","M",2,8.333333333,33.33333333,66.66666667,NA,NA,NA,NA,NA,"25"
"a",5,"3","ELS","M",10,33.33333333,50,75,75,33.33333333,41.66666667,0,36.36363636,"33.33333333"
"a",6,"","ELS","M",10,8.333333333,83.33333333,66.66666667,66.66666667,58.33333333,58.33333333,8.333333333,0,"20.83333333"
"a",7,"4","NS","F",2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,"4.166666667"
"a",8,"","NS","F",2,0,50,0,NA,NA,NA,NA,NA,"4.166666667"
"a",9,"6","ELS","F",2,0,100,66.66666667,NA,NA,NA,NA,NA,"25"
"a",10,"","ELS","F",2,0,16.66666667,0,NA,NA,NA,NA,NA,"12.5"
"a",11,"5","NS","F",10,0,66.66666667,0,0,0,0,16.66666667,18.18181818,"4.166666667"
"a",12,"","NS","F",10,0,16.66666667,0,0,0,0,0,0,"4.166666667"
"a",13,"5b","NS","F",10,0,66.66666667,0,0,16.66666667,0,8.333333333,9.090909091,"8.333333333"
"a",15,"7","ELS","F",10,0,66.66666667,50,50,41.66666667,8.333333333,16.66666667,9.090909091,"8.333333333"
"a",16,"","ELS","F",10,8.333333333,66.66666667,8.333333333,8.333333333,8.333333333,0,0,18.18181818,"4.166666667"
"b",17,"10","NS","M",2,0,50,16.66666667,NA,NA,NA,NA,NA,"20.83333333"
"b",18,"","NS","M",2,0,100,0,NA,NA,NA,NA,NA,"12.5"
"b",19,"8","ELS","M",2,8.333333333,50,41.66666667,NA,NA,NA,NA,NA,"37.5"
"b",20,"","ELS","M",2,8.333333333,50,33.33333333,NA,NA,NA,NA,NA,"20.83333333"
"b",21,"11","NS","M",10,8.333333333,66.66666667,25,25,16.66666667,0,0,0,"0"
"b",22,"","NS","M",10,16.66666667,83.33333333,25,25,25,16.66666667,0,9.090909091,"12.5"
"b",23,"9","ELS","M",10,0,83.33333333,16.66666667,16.66666667,16.66666667,0,0,9.090909091,"20.83333333"
"b",24,"","ELS","M",10,0,33.33333333,41.66666667,41.66666667,16.66666667,25,0,9.090909091,"8.333333333"
"b",25,"12","NS","M",2,0,66.66666667,83.33333333,NA,NA,NA,NA,NA,"66.66666667"
"b",26,"","NS","M",2,0,83.33333333,8.333333333,NA,NA,NA,NA,NA,"12.5"
"b",27,"13","ELS","F",2,8.333333333,16.66666667,25,NA,NA,NA,NA,NA,"4.166666667"
"b",28,"","ELS","F",2,8.333333333,33.33333333,33.33333333,NA,NA,NA,NA,NA,"4.166666667"
"d",29,"27","NS","F",2,16.66666667,83.33333333,16.66666667,NA,NA,NA,NA,NA,"#DIV/0!"
"d",30,"","NS","F",2,0,16.66666667,0,NA,NA,NA,NA,NA,"#DIV/0!"
"c",31,"15","ELS","M",2,0,33.33333333,66.66666667,NA,NA,NA,NA,NA,"41.66666667"
"c",32,"","ELS","M",2,33.33333333,83.33333333,83.33333333,NA,NA,NA,NA,NA,"41.66666667"
"b",33,"14","NS","F",10,9.090909091,50,25,25,33.33333333,8.333333333,16.66666667,16.66666667,"8.333333333"
"b",34,"","NS","F",10,9.090909091,100,58.33333333,58.33333333,16.66666667,25,0,8.333333333,"8.333333333"
"c",35,"16","ELS","M",10,27.27272727,50,0,0,16.66666667,16.66666667,8.333333333,16.66666667,"4.166666667"
"c",36,"","ELS","M",10,9.090909091,83.33333333,33.33333333,33.33333333,8.333333333,8.333333333,25,0,"0"
"c",37,"17","NS","M",10,0,50,50,50,75,25,25,0,"12.5"
"c",38,"","NS","M",10,18.18181818,33.33333333,33.33333333,33.33333333,0,25,0,8.333333333,"12.5"
"c",39,"20","ELS","F",10,0,16.66666667,50,50,33.33333333,25,16.66666667,8.333333333,"12.5"
"c",40,"","ELS","F",10,9.090909091,0,25,25,16.66666667,0,16.66666667,16.66666667,"33.33333333"
"c",41,"18","NS","M",2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,"0"
"c",42,"","NS","M",2,9.090909091,66.66666667,16.66666667,NA,NA,NA,NA,NA,"8.333333333"
"c",43,"18b","NS","M",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"12.5"
"d",45,"23","NS","M",10,18.18181818,50,58.33333333,58.33333333,58.33333333,33.33333333,16.66666667,25,"4.166666667"
"d",46,"","NS","M",10,9.090909091,66.66666667,8.333333333,8.333333333,33.33333333,0,16.66666667,0,"16.66666667"
"d",47,"23b","NS","M",10,0,66.66666667,25,25,50,33.33333333,16.66666667,8.333333333,"12.5"
"c",49,"19","NS","F",10,0,0,8.333333333,8.333333333,25,8.333333333,8.333333333,16.66666667,"16.66666667"
"c",50,"","NS","F",10,9.090909091,16.66666667,33.33333333,33.33333333,83.33333333,8.333333333,0,16.66666667,"4.166666667"
"d",51,"25","ELS","F",2,0,33.33333333,33.33333333,NA,NA,NA,NA,NA,"8.333333333"
"d",52,"","ELS","F",2,0,0,8.333333333,NA,NA,NA,NA,NA,"0"
"c",53,"21","NS","F",2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,"8.333333333"
"c",54,"","NS","F",2,0,66.66666667,25,NA,NA,NA,NA,NA,"0"
"d",55,"26","ELS","F",10,0,50,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,8.333333333,"25"
"d",56,"","ELS","F",10,0,66.66666667,33.33333333,33.33333333,8.333333333,8.333333333,16.66666667,0,"33.33333333"
"d",57,"24","NS","M",10,18.18181818,50,8.333333333,8.333333333,0,8.333333333,0,0,"0"
"d",58,"","NS","M",10,18.18181818,83.33333333,33.33333333,33.33333333,25,0,16.66666667,0,"0"
"d",59,"28","NS","F",10,18.18181818,50,0,0,0,0,0,0,"4.166666667"
"d",60,"","NS","F",10,0,66.66666667,0,0,8.333333333,0,0,8.333333333,"0"
"",1,"1","ELS","M",2,8.333333333,66.66666667,58.33333333,NA,NA,NA,NA,NA,"41.66666667"
"",2,"","ELS","M",2,0,50,16.66666667,NA,NA,NA,NA,NA,"8.333333333"
"",3,"7","ELS","F",2,0,100,91.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",4,"","ELS","F",2,8.333333333,66.66666667,25,NA,NA,NA,NA,NA,"0"
"",5,"3","NS","M",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"27.27272727"
"",6,"","NS","M",2,0,66.66666667,8.333333333,NA,NA,NA,NA,NA,"0"
"",7,"4","NS","F",2,0,83.33333333,75,NA,NA,NA,NA,NA,"16.66666667"
"",8,"","NS","F",2,0,66.66666667,16.66666667,NA,NA,NA,NA,NA,"50"
"",9,"12","ELS","M",10,0,66.66666667,33.33333333,33.33333333,33.33333333,0,0,16.66666667,"33.33333333"
"",10,"","ELS","M",10,8.333333333,83.33333333,25,25,83.33333333,66.66666667,0,8.333333333,"8.333333333"
"",11,"12b","ELS","M",10,8.333333333,66.66666667,41.66666667,41.66666667,41.66666667,50,33.33333333,41.66666667,"0"
"",13,"16","ELS","F",10,0,50,0,0,0,0,0,0,"8.333333333"
"",14,"","ELS","F",10,0,33.33333333,8.333333333,8.333333333,0,0,0,0,"8.333333333"
"",15,"20","NS","M",10,0,83.33333333,0,0,25,16.66666667,0,0,"8.333333333"
"",16,"","NS","M",10,0,0,0,0,0,0,0,0,"0"
"",17,"17","NS","F",10,0,33.33333333,8.333333333,8.333333333,8.333333333,0,8.333333333,0,"0"
"",18,"","NS","F",10,8.333333333,33.33333333,16.66666667,16.66666667,8.333333333,0,25,0,"0"
"",19,"2","ELS","M",2,8.333333333,50,66.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",20,"","ELS","M",2,8.333333333,50,50,NA,NA,NA,NA,NA,"25"
"",21,"8","ELS","F",2,25,50,50,NA,NA,NA,NA,NA,"25"
"",22,"","ELS","F",2,0,83.33333333,16.66666667,NA,NA,NA,NA,NA,"0"
"",23,"6","NS","M",2,8.333333333,50,0,NA,NA,NA,NA,NA,"0"
"",24,"","NS","M",2,8.333333333,100,8.333333333,NA,NA,NA,NA,NA,"0"
"",25,"10","NS","F",2,16.66666667,33.33333333,16.66666667,NA,NA,NA,NA,NA,"8.333333333"
"",26,"","NS","F",2,0,16.66666667,0,NA,NA,NA,NA,NA,"0"
"",27,"10b","NS","F",2,0,50,8.333333333,NA,NA,NA,NA,NA,"0"
"",31,"19","ELS","M",10,0,66.66666667,25,25,50,16.66666667,16.66666667,33.33333333,"8.333333333"
"",32,"","ELS","M",10,0,66.66666667,25,25,16.66666667,50,25,25,"58.33333333"
"",33,"23","ELS","F",10,8.333333333,33.33333333,25,25,16.66666667,8.333333333,0,0,"0"
"",34,"","ELS","F",10,0,16.66666667,8.333333333,8.333333333,0,8.333333333,16.66666667,16.66666667,"0"
"",35,"22","ELS","M",10,8.333333333,83.33333333,58.33333333,58.33333333,25,16.66666667,8.333333333,8.333333333,"0"
"",36,"","ELS","M",10,16.66666667,83.33333333,25,25,16.66666667,16.66666667,0,0,"0"
"",37,"25","NS","M",10,0,16.66666667,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,16.66666667,"0"
"",38,"","NS","M",10,0,33.33333333,16.66666667,16.66666667,33.33333333,41.66666667,16.66666667,8.333333333,"16.66666667"
"",39,"25b","NS","M",10,0,0,16.66666667,16.66666667,8.333333333,25,0,0,"0"
"",41,"5","ELS","M",2,0,83.33333333,0,NA,NA,NA,NA,NA,"0"
"",42,"","ELS","M",2,0,16.66666667,8.333333333,NA,NA,NA,NA,NA,"33.33333333"
"",43,"9","ELS","F",2,8.333333333,66.66666667,41.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",44,"","ELS","F",2,0,66.66666667,33.33333333,NA,NA,NA,NA,NA,"0"
"",45,"13","NS","M",2,8.333333333,83.33333333,50,NA,NA,NA,NA,NA,"16.66666667"
"",46,"","NS","M",2,0,66.66666667,66.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",47,"11","NS","F",2,8.333333333,50,41.66666667,NA,NA,NA,NA,NA,"0"
"",48,"","NS","F",2,0,0,16.66666667,NA,NA,NA,NA,NA,"0"
"",49,"14","NS","M",2,0,66.66666667,0,NA,NA,NA,NA,NA,"16.66666667"
"",50,"","NS","M",2,0,50,16.66666667,NA,NA,NA,NA,NA,"25"
"",51,"15","ELS","F",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"16.66666667"
"",52,"","ELS","F",2,0,66.66666667,0,NA,NA,NA,NA,NA,"0"
"",53,"18","NS","F",2,0,16.66666667,0,NA,NA,NA,NA,NA,"33.33333333"
"",54,"","NS","F",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"0"
"",55,"24","ELS","F",10,0,50,50,50,25,16.66666667,16.66666667,25,"8.333333333"
"",56,"","ELS","F",10,0,66.66666667,16.66666667,16.66666667,8.333333333,0,0,8.333333333,"0"
